Pair;Action;Tanggal Entry;Tanggal Exit;Entry;TP;SL;Keterangan
XAUUSD;Buy;11-Jan-2021;12-Jan-2021;1841.41;1861.41;1832.41;TP
XAUUSD;Sell;21-Jan-2021;22-Jan-2021;1871.38;1851.38;1880.38;TP
XAUUSD;Sell;25-Jan-2021;27-Jan-2021;1858.19;1838.19;1867.19;TP
XAUUSD;Buy;28-Jan-2021;28-Jan-2021;1837.06;1857.06;1828.06;TP
XAUUSD;Buy;05-Feb-2021;05-Feb-2021;1793.42;1813.42;1784.42;TP
XAUUSD;Sell;15-Feb-2021;16-Feb-2021;1824.40;1804.4;1833.4;TP
XAUUSD;Buy;18-Feb-2021;19-Feb-2021;1777.25;1797.25;1768.25;SL
XAUUSD;Buy;19-Feb-2021;22-Feb-2021;1772.81;1792.81;1763.81;TP
XAUUSD;Sell;23-Feb-2021;24-Feb-2021;1812.02;1792.02;1821.02;TP
XAUUSD;Buy;01-Mar-2021;01-Mar-2021;1734.47;1754.47;1725.47;TP
XAUUSD;Buy;02-Mar-2021;02-Mar-2021;1715.44;1735.44;1706.44;TP
XAUUSD;Buy;05-Mar-2021;08-Mar-2021;1697.21;1717.21;1688.21;SL
XAUUSD;Buy;09-Mar-2021;09-Mar-2021;1683.08;1703.08;1674.08;TP
XAUUSD;Sell;11-Mar-2021;12-Mar-2021;1733.26;1713.26;1742.26;TP
XAUUSD;Buy;12-Mar-2021;15-Mar-2021;1705.25;1725.25;1696.25;TP
XAUUSD;Sell;18-Mar-2021;18-Mar-2021;1749.88;1729.88;1758.88;TP
XAUUSD;Buy;18-Mar-2021;24-Mar-2021;1734.99;1754.99;1725.99;SL
XAUUSD;Buy;30-Mar-2021;31-Mar-2021;1685.45;1705.45;1676.45;TP
XAUUSD;Sell;09-Apr-2021;09-Apr-2021;1755.60;1735.6;1764.6;TP
XAUUSD;Buy;15-Apr-2021;15-Apr-2021;1738.66;1758.66;1729.66;TP
XAUUSD;Sell;16-Apr-2021;19-Apr-2021;1779.49;1759.49;1788.49;SL
XAUUSD;Buy;20-Apr-2021;21-Apr-2021;1769.59;1789.59;1760.59;TP
XAUUSD;Sell;22-Apr-2021;23-Apr-2021;1792.91;1772.91;1801.91;TP
XAUUSD;Buy;03-May-2021;03-May-2021;1769.19;1789.19;1760.19;TP
XAUUSD;Buy;05-May-2021;05-May-2021;1779.85;1799.85;1770.85;SL
XAUUSD;Sell;10-May-2021;12-May-2021;1836.92;1816.92;1845.92;TP
XAUUSD;Buy;13-May-2021;14-May-2021;1817.28;1837.28;1808.28;TP
XAUUSD;Buy;04-Jun-2021;04-Jun-2021;1869.69;1889.69;1860.69;TP
XAUUSD;Buy;18-Jun-2021;18-Jun-2021;1773.94;1793.94;1764.94;TP
XAUUSD;Buy;30-Jun-2021;01-Jul-2021;1757.70;1777.7;1748.7;TP
XAUUSD;Sell;16-Jul-2021;19-Jul-2021;1828.89;1808.89;1837.89;TP
XAUUSD;Buy;19-Jul-2021;21-Jul-2021;1809.00;1829;1800;SL
XAUUSD;Sell;30-Jul-2021;02-Aug-2021;1827.62;1807.62;1836.62;TP
XAUUSD;Buy;09-Aug-2021;10-Aug-2021;1738.90;1758.9;1729.9;SL
XAUUSD;Sell;24-Aug-2021;25-Aug-2021;1805.86;1785.86;1814.86;TP
XAUUSD;Buy;03-Sep-2021;03-Sep-2021;1809.78;1829.78;1800.78;TP
XAUUSD;Sell;06-Sep-2021;07-Sep-2021;1827.44;1807.44;1836.44;TP
XAUUSD;Sell;22-Sep-2021;23-Sep-2021;1773.71;1753.71;1782.71;SL
XAUUSD;Buy;24-Sep-2021;28-Sep-2021;1748.53;1768.53;1739.53;SL
XAUUSD;Buy;30-Sep-2021;30-Sep-2021;1726.50;1746.5;1717.5;TP
XAUUSD;Sell;04-Oct-2021;04-Oct-2021;1760.51;1740.51;1769.51;SL
XAUUSD;Sell;14-Oct-2021;15-Oct-2021;1796.39;1776.39;1805.39;TP
XAUUSD;Buy;18-Oct-2021;20-Oct-2021;1765.24;1785.24;1756.24;TP
XAUUSD;Sell;26-Nov-2021;29-Oct-2021;1805.26;1785.26;1814.26;TP
XAUUSD;Sell;30-Nov-2021;30-Oct-2021;1795.36;1775.36;1804.36;TP
XAUUSD;Sell;08-Dec-2021;14-Dec-2021;1789.30;1769.3;1798.3;TP
XAUUSD;Sell;17-Dec-2021;27-Dec-2021;1804.81;1784.81;1813.81;SL
XAUUSD;Buy;30-Dec-2021;31-Dec-2021;1800.42;1820.42;1791.42;TP
XAUUSD;Buy;04-Jan-2022;05-Jan-2022;1801.29;1821.29;1792.29;TP
XAUUSD;Sell;05-Jan-2022;06-Jan-2022;1822.67;1802.67;1831.67;TP
XAUUSD;Buy;06-Jan-2022;11-Jan-2022;1791.00;1811;1782;TP
XAUUSD;Buy;19-Jan-2022;19-Jan-2022;1813.87;1833.87;1804.87;TP
XAUUSD;Buy;24-Jan-2022;26-Jan-2022;1834.67;1854.67;1825.67;SL
XAUUSD;Sell;01-Feb-2022;04-Feb-2022;1804.13;1784.13;1813.13;SL
XAUUSD;Buy;11-Feb-2022;11-Feb-2022;1826.17;1846.17;1817.17;TP
XAUUSD;Buy;15-Feb-2022;17-Feb-2022;1853.34;1873.34;1844.34;TP
XAUUSD;Buy;25-Feb-2022;25-Feb-2022;1909.75;1929.75;1900.75;SL
XAUUSD;Buy;01-Mar-2022;01-Mar-2022;1908.80;1928.8;1899.8;TP
XAUUSD;Sell;02-Mar-2022;02-Mar-2022;1935.42;1915.42;1944.42;SL
XAUUSD;Buy;03-Mar-2022;04-Mar-2022;1927.81;1947.81;1918.81;TP
XAUUSD;Sell;09-Mar-2022;09-Mar-2022;2041.32;2021.32;2050.32;TP
XAUUSD;Buy;10-Mar-2022;10-Mar-2022;1981.62;2001.62;1972.62;TP
XAUUSD;Sell;17-Mar-2022;18-Mar-2022;1942.26;1922.26;1951.26;TP
XAUUSD;Buy;23-Mar-2022;23-Mar-2022;1922.07;1942.07;1913.07;TP
XAUUSD;Sell;25-Mar-2022;28-Mar-2022;1956.29;1936.29;1965.29;TP
XAUUSD;Sell;01-Apr-2022;04-Apr-2022;1936.89;1916.89;1945.89;TP
XAUUSD;Buy;06-Apr-2022;08-Apr-2022;1921.88;1941.88;1912.88;TP
XAUUSD;Buy;20-Apr-2022;21-Apr-2022;1946.99;1966.99;1937.99;SL
XAUUSD;Sell;27-Apr-2022;27-Apr-2022;1904.10;1884.1;1913.1;TP
XAUUSD;Sell;29-Apr-2022;02-May-2022;1910.49;1890.49;1919.49;TP
XAUUSD;Buy;02-May-2022;03-May-2022;1866.26;1886.26;1857.26;SL
XAUUSD;Sell;09-May-2022;09-May-2022;1882.05;1862.05;1891.05;TP
XAUUSD;Buy;11-May-2022;12-May-2022;1839.30;1859.3;1830.3;SL
XAUUSD;Buy;16-May-2022;17-May-2022;1808.77;1828.77;1799.77;TP
XAUUSD;Buy;18-May-2022;19-May-2022;1815.39;1835.39;1806.39;TP
XAUUSD;Sell;20-May-2022;23-May-2022;1840.69;1820.69;1849.69;SL
XAUUSD;Sell;25-May-2022;25-May-2022;1865.68;1845.68;1874.68;TP
XAUUSD;Sell;30-May-2022;31-May-2022;1858.68;1838.68;1867.68;TP
XAUUSD;Sell;09-Jun-2022;10-Jun-2022;1852.83;1832.83;1861.83;TP
XAUUSD;Buy;15-Jun-2022;15-Jun-2022;1811.64;1831.64;1802.64;TP
XAUUSD;Sell;20-Jun-2022;24-Jun-2022;1839.67;1819.67;1848.67;TP
XAUUSD;Buy;07-Jul-2022;12-Jul-2022;1739.47;1759.47;1730.47;SL
XAUUSD;Sell;14-Jul-2022;14-Jul-2022;1735.45;1715.45;1744.45;TP
XAUUSD;Sell;18-Jul-2022;20-Jul-2022;1716.98;1696.98;1725.98;TP
XAUUSD;Sell;25-Jul-2022;25-Jul-2022;1726.75;1706.75;1735.75;SL
XAUUSD;Buy;27-Jul-2022;28-Jul-2022;1720.94;1740.94;1711.94;TP
XAUUSD;Sell;02-Aug-2022;03-Aug-2022;1775.91;1755.91;1784.91;TP
XAUUSD;Buy;04-Aug-2022;04-Aug-2022;1765.93;1785.93;1756.93;TP
XAUUSD;Sell;05-Aug-2022;05-Aug-2022;1791.34;1771.34;1800.34;TP
XAUUSD;Buy;05-Aug-2022;09-Aug-2022;1774.66;1794.66;1765.66;TP
XAUUSD;Buy;11-Aug-2022;15-Aug-2022;1789.57;1809.57;1780.57;SL
XAUUSD;Sell;25-Aug-2022;26-Aug-2022;1760.12;1740.12;1769.12;TP
XAUUSD;Buy;02-Sep-2022;02-Sep-2022;1697.74;1717.74;1688.74;TP
XAUUSD;Sell;06-Sep-2022;07-Sep-2022;1715.43;1695.43;1724.43;TP
XAUUSD;Buy;09-Sep-2022;09-Sep-2022;1708.84;1728.84;1699.84;TP
XAUUSD;Buy;16-Sep-2022;21-Sep-2022;1660.79;1680.79;1651.79;TP
XAUUSD;Sell;22-Sep-2022;23-Sep-2022;1674.24;1654.24;1683.24;TP
XAUUSD;Buy;27-Sep-2022;28-Sep-2022;1630.76;1650.76;1621.76;SL
XAUUSD;Buy;29-Sep-2022;30-Sep-2022;1649.97;1669.97;1640.97;TP
XAUUSD;Sell;05-Oct-2022;05-Oct-2022;1722.76;1702.76;1731.76;TP
XAUUSD;Buy;17-Oct-2022;17-Oct-2022;1645.05;1665.05;1636.05;TP
XAUUSD;Sell;24-Oct-2022;26-Oct-2022;1656.58;1636.58;1665.58;SL
XAUUSD;Sell;26-Oct-2022;28-Oct-2022;1661.85;1641.85;1670.85;TP
